aggregation,attack,num_malicious,round,accuracy,loss
fedavg,scale,4,0,0.1000,2.3049
fedavg,scale,4,1,0.2222,303.22
fedavg,scale,4,2,0.1000,NaN
fedavg,scale,4,3,0.1000,NaN
fedavg,scale,4,4,0.1000,NaN
fedavg,scale,4,5,0.1000,NaN
fedavg,scale,4,6,0.1000,NaN
fedavg,scale,4,7,0.1000,NaN
fedavg,scale,4,8,0.1000,NaN
fedavg,scale,4,9,0.1000,NaN
fedavg,scale,4,10,0.1000,NaN
krum,scale,4,0,0.0902,2.3037
krum,scale,4,1,0.2264,2.0103
krum,scale,4,2,0.2861,1.8941
krum,scale,4,3,0.2862,1.9192
krum,scale,4,4,0.3330,1.8843
krum,scale,4,5,0.3028,1.8326
krum,scale,4,6,0.3259,1.8288
krum,scale,4,7,0.3419,1.7584
krum,scale,4,8,0.2694,1.9675
krum,scale,4,9,0.3380,1.8102
krum,scale,4,10,0.3765,1.7424
